,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
0,0.0,1911.83,0.88,218.3,420.0,0.0
1,1.3,605.4002909,0.88,218.3,420.0,0.013000000000000001
2,44.6,599.2280749,0.88,218.3,420.0,0.446
3,94.8,603.7,0.88,218.3,420.0,0.948
4,154.1,590.6,0.88,218.3,420.0,1.541
5,164.9,594.286,0.88,218.3,420.0,1.649
6,168.9,608.7,0.88,218.3,420.0,1.689
7,257.8,601.7,0.88,218.3,420.0,2.5780000000000003
8,324.6,597.3161697,0.88,218.3,420.0,3.2460000000000004
9,359.2,594.7,0.88,218.3,420.0,3.592
10,371.0,594.1057316,0.88,218.3,420.0,3.71
11,375.0,597.0,0.88,218.3,420.0,3.75
12,438.7,592.8089959,0.88,218.3,420.0,4.387
13,463.6,604.4481798,0.88,218.3,420.0,4.636
14,473.6,591.7,0.88,218.3,420.0,4.736000000000001
15,531.8,578.8931934,0.88,218.3,420.0,5.318
16,564.8,603.0,0.88,218.3,420.0,5.648
17,568.8,590.0,0.88,218.3,420.0,5.688
18,651.8,591.7,0.88,218.3,420.0,6.518
19,674.1,586.3685968,0.88,218.3,420.0,6.7410000000000005
20,766.5,590.3055,0.88,218.3,420.0,7.665
21,769.5,580.0,0.88,218.3,420.0,7.695
22,773.6,587.9,0.88,218.3,420.0,7.736000000000001
23,784.8,582.517837,0.88,218.3,420.0,7.848
24,843.3,579.6288433,0.88,218.3,420.0,8.433
25,850.1,578.3,0.88,218.3,420.0,8.501
26,907.1,577.0200136,0.88,218.3,420.0,9.071
27,927.3,577.0,0.88,218.3,420.0,9.273
28,1048.1,581.1818009,0.88,218.3,420.0,10.481
29,1076.2,572.7,0.88,218.3,420.0,10.762
30,1156.8,576.0,0.88,218.3,420.0,11.568
31,1189.2,589.4574439,0.88,218.3,420.0,11.892000000000001
32,1260.1,567.7,0.88,218.3,420.0,12.600999999999999
33,1357.6,581.3,0.88,218.3,420.0,13.575999999999999
34,1409.7,589.1519454,0.88,218.3,420.0,14.097000000000001
35,1483.1,572.7,0.88,218.3,420.0,14.831
36,1556.2,569.8,0.88,218.3,420.0,15.562000000000001
37,1566.9,559.5379345,0.88,218.3,420.0,15.669
38,1622.1,574.5989508,0.88,218.3,420.0,16.221
39,1652.3,595.6684431,0.88,218.3,420.0,16.523
40,1663.6,577.7,0.88,218.3,420.0,16.636
41,1740.3,578.0,0.88,218.3,420.0,17.403
42,1746.5,580.7,0.88,218.3,420.0,17.465
43,1823.2,575.8749785,0.88,218.3,420.0,18.232
44,1941.9,573.5,0.88,218.3,420.0,19.419
45,1954.7,578.3925521,0.88,218.3,420.0,19.547
46,2014.5,575.1261252,0.88,218.3,420.0,20.145
47,2036.2,548.9266811,0.88,218.3,420.0,20.362000000000002
48,2044.1,567.7,0.88,218.3,420.0,20.441
49,2128.8,575.7,0.88,218.3,420.0,21.288
50,2131.7,563.0,0.88,218.3,420.0,21.316999999999997
51,2191.5,570.3,0.88,218.3,420.0,21.915
52,2223.3,581.8659941,0.88,218.3,420.0,22.233
53,2355.3,577.3,0.88,218.3,420.0,23.553
54,2359.1,567.7,0.88,218.3,420.0,23.590999999999998
55,2375.4,579.021,0.88,218.3,420.0,23.754
56,2406.8,583.993827,0.88,218.3,420.0,24.068
57,2415.9,569.7,0.88,218.3,420.0,24.159000000000002
58,2489.5,569.8833134,0.88,218.3,420.0,24.895
59,2510.6,568.1,0.88,218.3,420.0,25.105999999999998
60,2520.6,582.4490752,0.88,218.3,420.0,25.206
61,2523.5,561.7,0.88,218.3,420.0,25.235
62,2546.0,580.0672454,0.88,218.3,420.0,25.46
63,2600.8,559.5086695,0.88,218.3,420.0,26.008000000000003
64,2639.3,579.7013541,0.88,218.3,420.0,26.393
65,2674.5,559.659818,0.88,218.3,420.0,26.745
66,2732.8,563.0,0.88,218.3,420.0,27.328000000000003
67,2751.3,559.6650635,0.88,218.3,420.0,27.513
68,2789.9,569.902,0.88,218.3,420.0,27.899
69,2805.3,563.3,0.88,218.3,420.0,28.053
70,2873.0,578.5428881,0.88,218.3,420.0,28.73
71,2899.0,569.9,0.88,218.3,420.0,28.99
72,2914.4,572.6807521,0.88,218.3,420.0,29.144000000000002
73,2918.3,567.7,0.88,218.3,420.0,29.183000000000003
74,3051.6,561.0,0.88,218.3,420.0,30.516
75,3117.6,563.0,0.88,218.3,420.0,31.176
76,3161.5,550.596,0.88,218.3,420.0,31.615
77,3199.1,552.665624,0.88,218.3,420.0,31.991
78,3206.2,558.3,0.88,218.3,420.0,32.062
79,3271.3,573.7062461,0.88,218.3,420.0,32.713
80,3319.5,560.745267,0.88,218.3,420.0,33.195
81,3322.2,564.2,0.88,218.3,420.0,33.222
