,Years(kyr),CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm)
0,0.0,1911.83,,,
1,1.3,605.4002909,,,
2,44.6,599.2280749,,,
3,94.8,603.7,,,
4,154.1,590.6,,,
5,164.9,594.286,,,
6,168.9,608.7,,,
7,257.8,601.7,,,
8,324.6,597.3161697,,,
9,359.2,594.7,,,
10,371.0,594.1057316,,,
11,375.0,597.0,,,
12,438.7,592.8089959,,,
13,463.6,604.4481798,,,
14,473.6,591.7,,,
15,531.8,578.8931934,,,
16,564.8,603.0,,,
17,568.8,590.0,,,
18,651.8,591.7,,,
19,674.1,586.3685968,,,
20,766.5,590.3055,,,
21,769.5,580.0,,,
22,773.6,587.9,,,
23,784.8,582.517837,,,
24,843.3,579.6288433,,,
25,850.1,578.3,,,
26,907.1,577.0200136,,,
27,927.3,577.0,,,
28,1048.1,581.1818009,,,
29,1076.2,572.7,,,
30,1156.8,576.0,,,
31,1189.2,589.4574439,,,
32,1260.1,567.7,,,
33,1357.6,581.3,,,
34,1409.7,589.1519454,,,
35,1483.1,572.7,,,
36,1556.2,569.8,,,
37,1566.9,559.5379345,,,
38,1622.1,574.5989508,,,
39,1652.3,595.6684431,,,
40,1663.6,577.7,,,
41,1740.3,578.0,,,
42,1746.5,580.7,,,
43,1823.2,575.8749785,,,
44,1941.9,573.5,,,
45,1954.7,578.3925521,,,
46,2014.5,575.1261252,,,
47,2036.2,548.9266811,,,
48,2044.1,567.7,,,
49,2128.8,575.7,,,
50,2131.7,563.0,,,
51,2191.5,570.3,,,
52,2223.3,581.8659941,,,
53,2355.3,577.3,,,
54,2359.1,567.7,,,
55,2375.4,579.021,,,
56,2406.8,583.993827,,,
57,2415.9,569.7,,,
58,2489.5,569.8833134,,,
59,2510.6,568.1,,,
60,2520.6,582.4490752,,,
61,2523.5,561.7,,,
62,2546.0,580.0672454,,,
63,2600.8,559.5086695,,,
64,2639.3,579.7013541,,,
65,2674.5,559.659818,,,
66,2732.8,563.0,,,
67,2751.3,559.6650635,,,
68,2789.9,569.902,,,
69,2805.3,563.3,,,
70,2873.0,578.5428881,,,
71,2899.0,569.9,,,
72,2914.4,572.6807521,,,
73,2918.3,567.7,,,
74,3051.6,561.0,,,
75,3117.6,563.0,,,
76,3161.5,550.596,,,
77,3199.1,552.665624,,,
78,3206.2,558.3,,,
79,3271.3,573.7062461,,,
80,3319.5,560.745267,,,
81,3322.2,564.2,,,
82,3387.1,576.801097,,,
83,3413.6,565.0,,,
84,3468.1,570.1361675,,,
85,3508.2,566.0,,,
86,3523.7,579.5658932,,,
87,3575.9,580.6022905,,,
88,3599.6,563.4806102,,,
89,3606.5,568.3,,,
90,3647.9,591.1240422,,,
91,3693.2,571.3,,,
92,3700.5,577.6611797,,,
93,3703.2,569.7,,,
94,3706.9,581.4602016,,,
95,3734.4,584.3,,,
96,3762.0,586.1507089,,,
97,3884.0,575.0,,,
98,3920.2,569.9914556,,,
99,3964.7,584.4424811,,,
100,4039.0,564.0,,,
101,4043.2,602.4646452,,,
102,4072.0,591.7,,,
103,4079.0,597.1554737,,,
104,4083.0,581.0,,,
105,4108.0,596.6476978,,,
106,4165.6,589.8184557,,,
107,4301.6,590.127,,,
108,4306.5,577.0,,,
109,4313.5,583.1917793,,,
110,4354.3,591.9237093,,,
111,4391.2,577.119004,,,
112,4396.3,580.0,,,
113,4400.2,581.0495945,,,
114,4434.7,587.1366406,,,
115,4453.6,587.7,,,
